[2023-11-20 22:57:43,879: INFO: main: Welcome]
[2023-11-22 16:34:31,342: INFO: common: yaml file: config\config.yaml loaded sucessfully]
[2023-11-22 16:34:31,352: INFO: common: yaml file: params.yaml loaded sucessfully]
[2023-11-22 16:34:31,353: INFO: common: created directory at: artifacts]
[2023-11-22 16:34:31,355: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 16:34:31,356: INFO: 2162787759: downloading data from https://drive.google.com/drive/folders/16G5Hp4qxUtqSqNejIYsGMDIJxwrZFhfj?usp=sharing into file artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 16:37:29,070: INFO: common: yaml file: config\config.yaml loaded sucessfully]
[2023-11-22 16:37:29,072: INFO: common: yaml file: params.yaml loaded sucessfully]
[2023-11-22 16:37:29,075: INFO: common: created directory at: artifacts]
[2023-11-22 16:37:29,076: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 16:37:29,076: INFO: 885720271: downloading data from https://drive.google.com/drive/folders/16G5Hp4qxUtqSqNejIYsGMDIJxwrZFhfj?usp=sharing into file artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 16:39:30,997: INFO: common: yaml file: config\config.yaml loaded sucessfully]
[2023-11-22 16:39:30,999: INFO: common: yaml file: params.yaml loaded sucessfully]
[2023-11-22 16:39:30,999: INFO: common: created directory at: artifacts]
[2023-11-22 16:39:31,000: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 16:39:31,001: INFO: 1291460029: downloading data from https://drive.google.com/drive/folders/16G5Hp4qxUtqSqNejIYsGMDIJxwrZFhfj?usp=sharing into file artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 16:39:32,539: INFO: 1291460029: Downloaded data from https://drive.google.com/drive/folders/16G5Hp4qxUtqSqNejIYsGMDIJxwrZFhfj?usp=sharing into firl artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 16:39:53,663: INFO: common: yaml file: config\config.yaml loaded sucessfully]
[2023-11-22 16:39:53,664: INFO: common: yaml file: params.yaml loaded sucessfully]
[2023-11-22 16:39:53,665: INFO: common: created directory at: artifacts]
[2023-11-22 16:39:53,665: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 16:39:53,666: INFO: 3122853211: downloading data from https://drive.google.com/drive/folders/16G5Hp4qxUtqSqNejIYsGMDIJxwrZFhfj?usp=sharing into file artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 16:39:55,074: INFO: 3122853211: Downloaded data from https://drive.google.com/drive/folders/16G5Hp4qxUtqSqNejIYsGMDIJxwrZFhfj?usp=sharing into firl artifacts/data_ingestion/kidney-ct-scan-image.zip]
[2023-11-22 16:42:01,042: INFO: common: yaml file: config\config.yaml loaded sucessfully]
[2023-11-22 16:42:01,043: INFO: common: yaml file: params.yaml loaded sucessfully]
[2023-11-22 16:42:01,044: INFO: common: created directory at: artifacts]
[2023-11-22 16:42:01,045: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 16:42:01,046: INFO: 172992989: downloading data from https://drive.google.com/file/d/1BIZl4temqz4r3sbJ1ljQBPQzs0hyHmt0/view?usp=sharing into file artifacts/data_ingestion/kidney-ct-scan-image.zip]
